id,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real,gap,launched_parsed,deadline_parsed
10,"Time, Space and Bullets! board game",Tabletop Games,Games,USD,2010-11-01,7500.0,2010-09-02 22:06:08,0.0,failed,0,US,0.0,0.0,7500.0,7500.0,2010-09-02 22:06:08,2010-11-01 00:00:00
11,Homage: The first website that honors and celebrates life!,Web,Technology,USD,2017-10-21,11000.0,2017-10-03 13:14:26,235.0,failed,7,US,80.0,235.0,11000.0,10920.0,2017-10-03 13:14:26,2017-10-21 00:00:00
12,Tribal Edge Clothing.com - Tribal Tattoo T-Shirts,Fashion,Fashion,USD,2010-12-15,5000.0,2010-11-15 17:38:52,50.0,failed,1,US,50.0,50.0,5000.0,4950.0,2010-11-15 17:38:52,2010-12-15 00:00:00
13,"Phillip H Screwdriver, Last of the Real Men P.I.s!",Fiction,Publishing,USD,2012-11-11,3000.0,2012-10-12 18:06:09,10.0,failed,1,US,10.0,10.0,3000.0,2990.0,2012-10-12 18:06:09,2012-11-11 00:00:00
14,The COR Music Project  With the Uber Platform,Kids,Music,USD,2015-08-29,40000.0,2015-07-30 00:52:32,170.0,failed,5,US,170.0,170.0,40000.0,39830.0,2015-07-30 00:52:32,2015-08-29 00:00:00
15,RighteousGIRLS' debut album EDGE!,Classical Music,Music,USD,2014-01-20,7500.0,2013-12-21 03:21:55,9727.0,successful,170,US,9727.0,9727.0,7500.0,-2227.0,2013-12-21 03:21:55,2014-01-20 00:00:00
16,World Jumper,Fiction,Publishing,USD,2017-03-02,5000.0,2017-01-31 02:16:57,40.0,failed,2,US,20.0,40.0,5000.0,4980.0,2017-01-31 02:16:57,2017-03-02 00:00:00
17,3D Print Recycler - Introducing The Cruncher!,Technology,Technology,USD,2015-03-06,20000.0,2015-02-04 06:07:12,27448.0,successful,54,US,27448.0,27448.0,20000.0,-7448.0,2015-02-04 06:07:12,2015-03-06 00:00:00
18,Easy Cal - iOS Calendar Application,Apps,Technology,USD,2014-05-30,160.0,2014-04-30 20:16:29,371.0,successful,39,US,371.0,371.0,160.0,-211.0,2014-04-30 20:16:29,2014-05-30 00:00:00
19,Fry Scores: An Unofficial Guide To Video Game Grub,Publishing,Publishing,USD,2015-05-31,2000.0,2015-05-01 21:27:11,3211.0,successful,227,US,3211.0,3211.0,2000.0,-1211.0,2015-05-01 21:27:11,2015-05-31 00:00:00
20,EDC Pocket Bolt Pen · Auto-Locking Bolt Action Pens,Product Design,Design,USD,2016-04-21,10000.0,2016-03-22 16:01:25,53433.0,successful,818,US,53433.0,53433.0,10000.0,-43433.0,2016-03-22 16:01:25,2016-04-21 00:00:00
21,"Key Codec Steam, your wit will give your game",Video Games,Games,EUR,2015-08-15,200.0,2015-08-12 12:10:05,1.0,failed,1,ES,1.1,1.13,225.62,198.9,2015-08-12 12:10:05,2015-08-15 00:00:00
22,HELP Blake Taylor make his FIRST Worship Record!,Indie Rock,Music,USD,2013-05-22,10000.0,2013-04-22 05:29:43,3190.0,failed,26,US,3190.0,3190.0,10000.0,6810.0,2013-04-22 05:29:43,2013-05-22 00:00:00
23,Art for Change Exhibition: igniting empathy & resilience,Mixed Media,Art,GBP,2013-03-21,1050.0,2013-03-04 14:20:57,233.0,failed,7,GB,350.31,353.76,1594.22,699.69,2013-03-04 14:20:57,2013-03-21 00:00:00
24,Mini Monster Enamel Pins,Art,Art,USD,2017-08-05,600.0,2017-07-06 19:24:49,850.0,successful,11,US,0.0,850.0,600.0,600.0,2017-07-06 19:24:49,2017-08-05 00:00:00
25,DrumTyght™ Professional Artist Canvases ,Product Design,Design,USD,2011-01-15,15000.0,2010-11-15 08:16:33,285.0,failed,4,US,285.0,285.0,15000.0,14715.0,2010-11-15 08:16:33,2011-01-15 00:00:00
26,1st Vinyl Release on Marquesa Records by Jewels of the Nile,Electronic Music,Music,USD,2012-05-25,2200.0,2012-04-25 03:58:42,979.0,failed,35,US,979.0,979.0,2200.0,1221.0,2012-04-25 03:58:42,2012-05-25 00:00:00
27,Fairy Quest,Comics,Comics,USD,2012-05-26,60000.0,2012-04-11 06:10:12,95100.75,successful,1642,US,95100.75,95100.75,60000.0,-35100.75,2012-04-11 06:10:12,2012-05-26 00:00:00
28,The Missing Sock Project,Fashion,Fashion,USD,2017-07-28,50000.0,2017-06-28 03:12:54,4.0,failed,2,US,0.0,4.0,50000.0,50000.0,2017-06-28 03:12:54,2017-07-28 00:00:00
29,The First FairTrade Organic Cotton Bee Jacket!,Fashion,Fashion,EUR,2015-10-27,35000.0,2015-09-12 14:27:59,570.0,failed,11,NL,642.93,627.97,38559.42,34357.07,2015-09-12 14:27:59,2015-10-27 00:00:00
30,Electrikid Cosplay Calendar!,Art,Art,GBP,2016-11-02,120.0,2016-09-28 20:13:02,301.0,successful,8,GB,214.18,375.98,149.89,-94.18,2016-09-28 20:13:02,2016-11-02 00:00:00
31,Support Bristol Best's First Album & Art,Music,Music,USD,2015-11-27,2200.0,2015-10-14 05:20:51,51.0,,0,"N,0",,51.0,2200.0,,2015-10-14 05:20:51,2015-11-27 00:00:00
32,Lyle Brewer's Solo Record Juno,Music,Music,USD,2015-09-12,2500.0,2015-08-13 14:40:48,2925.0,,0,"N,0",,2925.0,2500.0,,2015-08-13 14:40:48,2015-09-12 00:00:00
33,Hal's Take on Sports Podcast!,Performance Art,Art,USD,2012-08-31,7200.0,2012-07-20 22:54:37,35.0,failed,2,US,35.0,35.0,7200.0,7165.0,2012-07-20 22:54:37,2012-08-31 00:00:00
34,Neil Vokes Eagle & Death's Dark Angel Return to Comics!,Comic Books,Comics,USD,2016-03-11,3000.0,2016-02-19 01:56:47,3568.0,successful,60,US,3568.0,3568.0,3000.0,-568.0,2016-02-19 01:56:47,2016-03-11 00:00:00
35,Bat Brat Pins!,Accessories,Fashion,USD,2017-09-01,390.0,2017-08-02 17:06:48,134.0,failed,3,US,100.0,134.0,390.0,290.0,2017-08-02 17:06:48,2017-09-01 00:00:00
36,WeTrade - A Social Marketplace For The People,Apps,Technology,USD,2015-06-10,500.0,2015-05-11 22:35:58,51.0,failed,2,US,51.0,51.0,500.0,449.0,2015-05-11 22:35:58,2015-06-10 00:00:00
37,Hand- Sewn Hair Bows and Accessories,Crafts,Crafts,USD,2013-08-08,3000.0,2013-07-09 22:29:42,41.0,failed,3,US,41.0,41.0,3000.0,2959.0,2013-07-09 22:29:42,2013-08-08 00:00:00
38,The Coup,Documentary,Film & Video,GBP,2016-02-15,5000.0,2016-01-16 10:45:52,931.0,failed,20,GB,1341.36,1329.26,7138.88,3658.6400000000003,2016-01-16 10:45:52,2016-02-15 00:00:00
39,T-SHIRT PRINTING DESIGNS,Fashion,Fashion,USD,2016-04-20,5500.0,2016-03-21 16:30:55,0.0,failed,0,US,0.0,0.0,5500.0,5500.0,2016-03-21 16:30:55,2016-04-20 00:00:00
40,Tobo Track - Liquid wood eco-toy tracks for Thomas™ & Lego®!,Product Design,Design,CAD,2015-04-21,30000.0,2015-03-17 10:17:01,38315.5,successful,467,CA,29950.86,31616.06,24754.52,49.13999999999942,2015-03-17 10:17:01,2015-04-21 00:00:00
41,MagBak: Minimalist Case and Mounting Solution for Your Phone,Product Design,Design,USD,2017-10-01,20000.0,2017-09-13 11:16:08,20073.0,successful,398,US,5500.0,20073.0,20000.0,14500.0,2017-09-13 11:16:08,2017-10-01 00:00:00
42,TOKYO NO DENSETSU NO EIYU(Legend),Animation,Film & Video,CAD,2016-04-16,15000.0,2016-03-16 23:40:53,0.0,failed,0,CA,0.0,0.0,11779.49,15000.0,2016-03-16 23:40:53,2016-04-16 00:00:00
43,Painting His Wings A New Play By Sinead Daly,Theater,Theater,USD,2013-06-07,6000.0,2013-05-08 23:29:49,6440.0,successful,125,US,6440.0,6440.0,6000.0,-440.0,2013-05-08 23:29:49,2013-06-07 00:00:00
44,Senshi Galaxy Supernova: A Sailor Moon Cosplay Music Video,Music Videos,Film & Video,USD,2015-03-28,3000.0,2015-01-27 01:14:20,470.0,failed,8,US,470.0,470.0,3000.0,2530.0,2015-01-27 01:14:20,2015-03-28 00:00:00
45,Self published children's book,Publishing,Publishing,USD,2016-06-18,5450.0,2016-05-19 05:49:55,2.0,failed,2,US,2.0,2.0,5450.0,5448.0,2016-05-19 05:49:55,2016-06-18 00:00:00
46,LOST WEEKEND,Shorts,Film & Video,USD,2012-04-02,5000.0,2012-03-19 19:38:21,5025.0,successful,27,US,5025.0,5025.0,5000.0,-25.0,2012-03-19 19:38:21,2012-04-02 00:00:00
47,Bambooty Headgear,Apparel,Fashion,USD,2014-12-08,10000.0,2014-11-09 03:28:19,30.0,failed,1,US,30.0,30.0,10000.0,9970.0,2014-11-09 03:28:19,2014-12-08 00:00:00
48,Devil’s Cut: Whiskey Aroma Infused Coffee Beans Hand Crafted,Small Batch,Food,USD,2015-09-14,4000.0,2015-08-15 02:58:17,961.0,canceled,21,US,961.0,961.0,4000.0,3039.0,2015-08-15 02:58:17,2015-09-14 00:00:00
49,Rollenspiel Koch,Small Batch,Food,EUR,2015-10-03,800.0,2015-08-22 15:18:41,40.0,failed,2,DE,45.06,45.45,908.96,754.94,2015-08-22 15:18:41,2015-10-03 00:00:00
50,"VIR Magazine, The next Generation in Mens Lifestyle",Journalism,Journalism,USD,2013-09-24,100000.0,2013-08-20 23:25:12,1430.0,failed,10,US,1430.0,1430.0,100000.0,98570.0,2013-08-20 23:25:12,2013-09-24 00:00:00
51,Dancing On Thin Ice,Nonfiction,Publishing,USD,2015-11-29,25000.0,2015-10-30 16:32:24,0.0,failed,0,US,0.0,0.0,25000.0,25000.0,2015-10-30 16:32:24,2015-11-29 00:00:00
52,"Secrets of the Sunflower, a novel of a different sort by Dona Cantrell (Canceled)",Fiction,Publishing,USD,2010-09-04,3500.0,2010-07-20 07:26:56,210.0,canceled,7,US,210.0,210.0,3500.0,3290.0,2010-07-20 07:26:56,2010-09-04 00:00:00
53,Envista Farms,Farms,Food,USD,2015-10-29,18000.0,2015-09-29 23:33:48,5.0,failed,1,US,5.0,5.0,18000.0,17995.0,2015-09-29 23:33:48,2015-10-29 00:00:00
54,Spaceshag new album,Indie Rock,Music,USD,2014-11-21,3500.0,2014-10-22 08:01:45,410.0,failed,11,US,410.0,410.0,3500.0,3090.0,2014-10-22 08:01:45,2014-11-21 00:00:00
55,Visit and Eat at a Restaurant in NYC... with only $6,Food,Food,USD,2017-10-26,10000.0,2017-09-26 23:16:53,10.0,failed,2,US,0.0,10.0,10000.0,10000.0,2017-09-26 23:16:53,2017-10-26 00:00:00
56,Support Data Dog's Tour/Merch!,Electronic Music,Music,USD,2010-06-04,2000.0,2010-04-23 04:58:04,209.0,failed,12,US,209.0,209.0,2000.0,1791.0,2010-04-23 04:58:04,2010-06-04 00:00:00
57,So Sweet The Hour wants YOU to finish their new record!,Rock,Music,USD,2011-06-18,2500.0,2011-05-16 08:39:53,80.0,failed,2,US,80.0,80.0,2500.0,2420.0,2011-05-16 08:39:53,2011-06-18 00:00:00
58,48 Hour Film Project,Shorts,Film & Video,USD,2011-07-15,500.0,2011-06-21 17:34:20,1253.69,successful,29,US,1253.69,1253.69,500.0,-753.69,2011-06-21 17:34:20,2011-07-15 00:00:00
59,Of Souls and Snowflakes,Nonfiction,Publishing,USD,2016-03-03,1000.0,2016-02-02 20:32:06,1340.0,successful,32,US,1340.0,1340.0,1000.0,-340.0,2016-02-02 20:32:06,2016-03-03 00:00:00
60,RepRap: The Self Replicating DIY 3D Printer in Your Home,Hardware,Technology,USD,2011-03-03,1000.0,2011-01-27 10:34:35,3961.0,successful,48,US,3961.0,3961.0,1000.0,-2961.0,2011-01-27 10:34:35,2011-03-03 00:00:00
61,"IN THE GRASS, A Short, Editorial-Narrative thesis film by Lewis Meyer",Shorts,Film & Video,USD,2010-08-09,2000.0,2010-07-17 07:57:15,2035.0,successful,55,US,2035.0,2035.0,2000.0,-35.0,2010-07-17 07:57:15,2010-08-09 00:00:00
62,J-Block Urbanwear,Apparel,Fashion,USD,2015-10-25,10000.0,2015-09-25 20:08:30,81.0,failed,3,US,81.0,81.0,10000.0,9919.0,2015-09-25 20:08:30,2015-10-25 00:00:00
63,The Pocket Shelf -The Worlds ONLY portable convenience shelf,Product Design,Design,USD,2016-03-31,39000.0,2016-03-01 20:53:33,3104.0,failed,32,US,3104.0,3104.0,39000.0,35896.0,2016-03-01 20:53:33,2016-03-31 00:00:00
64,Aliyah Moulden Goes on Tour (Canceled),Pop,Music,USD,2013-03-31,70000.0,2013-03-01 23:39:43,0.0,canceled,0,US,0.0,0.0,70000.0,70000.0,2013-03-01 23:39:43,2013-03-31 00:00:00
65,BedPak - Pack for every adventure along the way.,Product Design,Design,USD,2014-07-08,28500.0,2014-06-02 04:55:17,30236.0,successful,57,US,30236.0,30236.0,28500.0,-1736.0,2014-06-02 04:55:17,2014-07-08 00:00:00
66,Skeletons in Tutus,Illustration,Art,USD,2012-11-10,25000.0,2012-10-11 03:07:44,85.0,failed,3,US,85.0,85.0,25000.0,24915.0,2012-10-11 03:07:44,2012-11-10 00:00:00
67,Little Free Library for Frederick Bremer School,Art,Art,GBP,2014-08-03,250.0,2014-06-24 18:01:08,270.0,successful,20,GB,459.78,453.71,420.1,-209.77999999999997,2014-06-24 18:01:08,2014-08-03 00:00:00
68,Lift Up Missions a Global Christian Online Platform,Web,Technology,USD,2015-10-17,60000.0,2015-09-02 18:01:55,52.0,failed,2,US,52.0,52.0,60000.0,59948.0,2015-09-02 18:01:55,2015-10-17 00:00:00
69,Three Days,Webseries,Film & Video,USD,2012-04-17,4000.0,2012-03-09 22:24:23,1551.0,failed,12,US,1551.0,1551.0,4000.0,2449.0,2012-03-09 22:24:23,2012-04-17 00:00:00
70,the Big Ska Gamble,Music,Music,USD,2012-05-06,5000.0,2012-03-23 05:07:32,5160.66,successful,96,US,5160.66,5160.66,5000.0,-160.65999999999985,2012-03-23 05:07:32,2012-05-06 00:00:00
71,Poolapolooza! Create your own Billiard League or Tourney (Canceled),Games,Games,USD,2010-07-16,5800.0,2010-06-02 06:48:05,0.0,canceled,0,US,0.0,0.0,5800.0,5800.0,2010-06-02 06:48:05,2010-07-16 00:00:00
72,LOVELAND: Scaling Up The Inches. Update: TIME OUT! Testing Out A Kickstore (Canceled),Crafts,Crafts,USD,2010-05-29,500.0,2010-05-13 18:06:26,12.0,canceled,1,US,12.0,12.0,500.0,488.0,2010-05-13 18:06:26,2010-05-29 00:00:00
73,CicLAvia 2012,Design,Design,USD,2012-04-05,12000.0,2012-03-06 07:50:15,12343.0,successful,279,US,12343.0,12343.0,12000.0,-343.0,2012-03-06 07:50:15,2012-04-05 00:00:00
74,Smart Fog Free Mirror,Gadgets,Technology,AUD,2017-01-07,96000.0,2016-12-08 14:05:24,623.0,canceled,14,AU,398.25,466.91,71947.84,95601.75,2016-12-08 14:05:24,2017-01-07 00:00:00
75,Turn An Unusual Childhood into AudioBook,Nonfiction,Publishing,USD,2012-05-20,900.0,2012-04-05 03:56:25,126.0,failed,3,US,126.0,126.0,900.0,774.0,2012-04-05 03:56:25,2012-05-20 00:00:00
76,The Beautiful Bicycle Print,Graphic Design,Design,GBP,2013-08-02,2000.0,2013-07-03 21:38:27,3193.45,successful,98,GB,4857.81,4838.85,3030.49,-2857.8100000000004,2013-07-03 21:38:27,2013-08-02 00:00:00
77,DOLLIA S/S 2013 Fashion Show,Fashion,Fashion,USD,2012-06-29,3000.0,2012-05-30 02:17:13,4045.0,successful,67,US,4045.0,4045.0,3000.0,-1045.0,2012-05-30 02:17:13,2012-06-29 00:00:00
78,Mad Rollercoaster debut MUSIC VIDEO/FILM,Music Videos,Film & Video,USD,2015-02-04,2000.0,2015-01-05 05:06:35,2670.0,successful,38,US,2670.0,2670.0,2000.0,-670.0,2015-01-05 05:06:35,2015-02-04 00:00:00
79,The Diamond Star #1,Comic Books,Comics,USD,2017-05-18,800.0,2017-04-18 01:47:23,945.0,successful,37,US,211.0,945.0,800.0,589.0,2017-04-18 01:47:23,2017-05-18 00:00:00
80,Catakombes dark reign,Tabletop Games,Games,EUR,2016-05-03,3000.0,2016-03-24 21:01:40,3034.52,successful,37,FR,3402.93,3467.55,3428.1,-402.92999999999984,2016-03-24 21:01:40,2016-05-03 00:00:00
81,The Back 9,Web,Technology,USD,2016-09-04,2000.0,2016-08-05 16:41:53,70.0,failed,3,US,70.0,70.0,2000.0,1930.0,2016-08-05 16:41:53,2016-09-04 00:00:00
82,Kyoki Novela Corta Criminal,Young Adult,Publishing,MXN,2017-10-08,9000.0,2017-08-09 01:54:59,0.0,failed,0,MX,0.0,0.0,474.76,9000.0,2017-08-09 01:54:59,2017-10-08 00:00:00
83,Hedron Online: An exciting new MMORPG,Video Games,Games,USD,2010-12-13,3000.0,2010-10-14 00:50:12,579.0,failed,18,US,579.0,579.0,3000.0,2421.0,2010-10-14 00:50:12,2010-12-13 00:00:00
84,RECALL by Eliza Clark & COLT COEUR's Play Hotel series!,Theater,Theater,USD,2012-05-12,18000.0,2012-04-12 17:29:34,19577.0,successful,150,US,19577.0,19577.0,18000.0,-1577.0,2012-04-12 17:29:34,2012-05-12 00:00:00
85,Art wood wallart custom abstract vector digital newage,Mixed Media,Art,USD,2017-02-12,2000.0,2017-01-13 12:37:37,115.0,failed,1,US,0.0,115.0,2000.0,2000.0,2017-01-13 12:37:37,2017-02-12 00:00:00
86,Ability App™ Helps People With Disabilities (Canceled),Software,Technology,USD,2015-07-19,85000.0,2015-06-19 19:21:31,0.0,canceled,0,US,0.0,0.0,85000.0,85000.0,2015-06-19 19:21:31,2015-07-19 00:00:00
87,Kissfriend: Chemical T,Music,Music,GBP,2014-08-21,10000.0,2014-07-08 17:48:54,967.45,failed,35,GB,1658.66,1603.78,16577.42,8341.34,2014-07-08 17:48:54,2014-08-21 00:00:00
88,Homegrown & Hungry: An Athens Ohio Roller Derby Production,Performance Art,Art,USD,2012-06-22,2500.0,2012-05-23 00:46:21,2738.0,successful,57,US,2738.0,2738.0,2500.0,-238.0,2012-05-23 00:46:21,2012-06-22 00:00:00
89,Lonestar Lane: Darling Home Accents with Charming Flair,Crafts,Crafts,USD,2014-10-13,3000.0,2014-09-29 20:26:07,0.0,canceled,0,US,0.0,0.0,3000.0,3000.0,2014-09-29 20:26:07,2014-10-13 00:00:00
90,Im making hamburgers!,Events,Food,USD,2014-08-15,50.0,2014-07-16 00:14:11,0.0,failed,0,US,0.0,0.0,50.0,50.0,2014-07-16 00:14:11,2014-08-15 00:00:00
91,ARENA 3D: Support a lone Indie Developer,Video Games,Games,GBP,2017-11-24,20000.0,2017-10-25 18:33:38,1270.0,canceled,86,GB,867.31,1692.52,26653.87,19132.69,2017-10-25 18:33:38,2017-11-24 00:00:00
92,Students For Students,Web,Journalism,USD,2015-01-31,600.0,2014-12-22 23:12:42,709.0,successful,22,US,709.0,709.0,600.0,-109.0,2014-12-22 23:12:42,2015-01-31 00:00:00
93,Sea the Sound | Detroit Album,Music,Music,USD,2014-03-17,1000.0,2014-02-15 03:05:14,300.0,failed,4,US,300.0,300.0,1000.0,700.0,2014-02-15 03:05:14,2014-03-17 00:00:00
94,Poster: San Francisco Contours,Illustration,Art,USD,2013-11-03,2500.0,2013-10-04 16:12:25,8166.0,successful,383,US,8166.0,8166.0,2500.0,-5666.0,2013-10-04 16:12:25,2013-11-03 00:00:00
95,Sanctus - Western JRPG,Mobile Games,Games,GBP,2015-01-18,7500.0,2014-12-19 15:13:51,405.0,failed,11,GB,631.38,606.88,11238.48,6868.62,2014-12-19 15:13:51,2015-01-18 00:00:00
96,Wolfed  (werewolf card game),Tabletop Games,Games,EUR,2016-01-20,10000.0,2015-12-21 13:41:44,47997.0,successful,1254,DE,51825.95,51875.19,10808.01,-41825.95,2015-12-21 13:41:44,2016-01-20 00:00:00
97,Sciophobia A Mysteriously Thrilling Monster Film,Narrative Film,Film & Video,USD,2013-03-15,1000.0,2013-02-20 01:27:24,1101.16,successful,30,US,1101.16,1101.16,1000.0,-101.16000000000008,2013-02-20 01:27:24,2013-03-15 00:00:00
98,LOGO DESIGN (Canceled),Graphic Design,Design,USD,2014-03-15,20.0,2014-02-13 01:19:01,550.0,canceled,16,US,550.0,550.0,20.0,-530.0,2014-02-13 01:19:01,2014-03-15 00:00:00
99,Wild Northeast Magazine,Publishing,Publishing,USD,2016-05-25,5000.0,2016-04-25 22:30:20,5939.69,successful,95,US,5939.69,5939.69,5000.0,-939.6899999999996,2016-04-25 22:30:20,2016-05-25 00:00:00
100,Skinjobs: A Blade Runner Zine!,Art Books,Publishing,USD,2013-12-20,1700.0,2013-11-22 00:15:11,8615.35,successful,546,US,8615.35,8615.35,1700.0,-6915.35,2013-11-22 00:15:11,2013-12-20 00:00:00
101,Zak Ward's first solo album This wonderful playground,Rock,Music,USD,2013-12-25,1200.0,2013-11-25 17:02:57,1525.0,successful,37,US,1525.0,1525.0,1200.0,-325.0,2013-11-25 17:02:57,2013-12-25 00:00:00
102,VISUALIZE Pi Noise,Public Art,Art,USD,2014-04-03,5200.0,2014-03-12 20:39:28,6476.14,successful,145,US,6476.14,6476.14,5200.0,-1276.1400000000003,2014-03-12 20:39:28,2014-04-03 00:00:00
103,Wild Gears 2.0 - reinventing the spirograph,Crafts,Crafts,CAD,2015-10-29,1500.0,2015-10-15 04:13:04,9622.0,successful,132,CA,7381.63,7303.23,1138.52,-5881.63,2015-10-15 04:13:04,2015-10-29 00:00:00
104,StateGuardian.org -  Raise the Standards of Your Democracy,Web,Technology,USD,2015-06-16,100000.0,2015-05-17 17:05:51,0.0,failed,0,US,0.0,0.0,100000.0,100000.0,2015-05-17 17:05:51,2015-06-16 00:00:00
105,Conflict of Interest Recording a New Album (metal),Metal,Music,USD,2014-01-29,3666.0,2013-12-30 21:16:45,40.0,failed,2,US,40.0,40.0,3666.0,3626.0,2013-12-30 21:16:45,2014-01-29 00:00:00
106,WAGES' debut album,Rock,Music,USD,2011-03-17,900.0,2011-02-15 03:51:23,1150.0,successful,18,US,1150.0,1150.0,900.0,-250.0,2011-02-15 03:51:23,2011-03-17 00:00:00
107,UnGRIDDED Coloring book and Notebooks,Graphic Design,Design,USD,2016-06-28,15000.0,2016-05-23 19:31:20,18400.0,successful,310,US,18400.0,18400.0,15000.0,-3400.0,2016-05-23 19:31:20,2016-06-28 00:00:00
108,Dreams of the Small Gods,Theater,Theater,GBP,2017-06-10,3500.0,2017-05-11 19:38:49,4058.0,successful,44,GB,90.65,5181.7,4469.19,3409.35,2017-05-11 19:38:49,2017-06-10 00:00:00
109,Healthiest Brownies Ever!,Food,Food,USD,2014-11-30,10.0,2014-10-31 21:53:26,58.0,successful,3,US,58.0,58.0,10.0,-48.0,2014-10-31 21:53:26,2014-11-30 00:00:00
110,Knit Tableware,Crafts,Crafts,USD,2011-03-28,1500.0,2011-02-06 08:11:23,0.0,failed,0,US,0.0,0.0,1500.0,1500.0,2011-02-06 08:11:23,2011-03-28 00:00:00
111,Black Hair Documentary Update,Documentary,Film & Video,USD,2014-07-20,7500.0,2014-06-05 23:12:10,560.0,failed,6,US,560.0,560.0,7500.0,6940.0,2014-06-05 23:12:10,2014-07-20 00:00:00
112,LA CIRCE - a Baroque Rediscovery from 1665,Classical Music,Music,USD,2016-12-18,7000.0,2016-11-14 03:57:36,7015.0,successful,35,US,0.0,7015.0,7000.0,7000.0,2016-11-14 03:57:36,2016-12-18 00:00:00
113,COLORS the 3rd album from recording artist Kanude,Rock,Music,USD,2014-10-09,8000.0,2014-09-08 18:58:39,8000.0,successful,50,US,8000.0,8000.0,8000.0,0.0,2014-09-08 18:58:39,2014-10-09 00:00:00
114,"Words of Love, A Collection Of Quotes About Love",Nonfiction,Publishing,CAD,2013-11-13,2000.0,2013-10-14 20:02:19,1.0,failed,1,CA,0.97,0.96,1911.31,1999.03,2013-10-14 20:02:19,2013-11-13 00:00:00
115,Help Fund Our Shirts,Product Design,Design,USD,2014-04-13,3000.0,2014-03-14 00:53:14,0.0,failed,0,US,0.0,0.0,3000.0,3000.0,2014-03-14 00:53:14,2014-04-13 00:00:00
116,Sticky Sounds: Insanely rugged and mounts to anything,Gadgets,Technology,USD,2017-06-22,12000.0,2017-05-08 17:49:52,12656.0,successful,205,US,12272.0,12656.0,12000.0,-272.0,2017-05-08 17:49:52,2017-06-22 00:00:00
117,The Mischievous Mouse & the Costume Closet Children's Book,Children's Books,Publishing,USD,2017-10-19,15.0,2017-09-25 04:47:49,67.0,successful,3,US,67.0,67.0,15.0,-52.0,2017-09-25 04:47:49,2017-10-19 00:00:00
118,Flaaffy pin & maybe more!,Art,Art,USD,2018-01-12,60.0,2017-12-26 19:45:17,114.0,live,10,US,68.0,114.0,60.0,-8.0,2017-12-26 19:45:17,2018-01-12 00:00:00
119,AMERICAN SOLDIER: FINAL JUSTICE - Assisting Our Real Heroes,Comics,Comics,USD,2011-06-29,1000.0,2011-05-20 22:24:23,1060.0,successful,11,US,1060.0,1060.0,1000.0,-60.0,2011-05-20 22:24:23,2011-06-29 00:00:00
120,Solar Vox personal USB solar charger,Product Design,Design,USD,2011-01-28,35000.0,2010-12-21 18:38:48,4973.0,failed,46,US,4973.0,4973.0,35000.0,30027.0,2010-12-21 18:38:48,2011-01-28 00:00:00
